id,node_id,name,full_name,private,owner,html_url,description,fork,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,visibility,forks,open_issues,watchers,default_branch,score,organization,readme,contributors,manual_label,prediction_nn,prediction,release_downloads,code_of_conduct,contributing,security_policy,issue_templates,pull_request_template,subscribers_count,,,
56785577,MDEwOlJlcG9zaXRvcnk1Njc4NTU3Nw==,CS20-S16-lab04,UCSB-CMPTGCS20-S16/CS20-S16-lab04,0,UCSB-CMPTGCS20-S16,https://github.com/UCSB-CMPTGCS20-S16/CS20-S16-lab04,,0,2016-04-21 15:33:37+00:00,2016-04-22 17:49:35+00:00,2016-04-26 09:12:31+00:00,,34,0,0,Python,1,1,1,1,0,0,1,0,0,0,mit,1,0,0,public,1,0,0,master,1,1,"Introduction
============

More practice with writing functions and tests
----------------------------------------------

In this lab, we continue practicing writing functions and tests, in
the same style as some of our previous labs.

The difference is that the functions we are writing will be a bit more
challenging.

You may work individually, OR in a pair, as you see fit.

Step by Step
============

Step 0: Register as either working alone, or working in a pair
--------------------------------------------------------------

Make a directory or folder for lab04.  We suggest `~/cs20/lab04`,
which as you may recall, means:

* a `cs20` folder inside your home folder
* then, a `lab04` folder inside that.

We are now going to get two files from the web.

Step 1: Copy some code into `lab04Funcs.py`
-----------------------------------------

We are going to copy some code from `lab04Funcs.py`
into a file with the same name under your `~/cs20/lab04` folder

* As a plain file: [lab04Funcs.py](https://raw.githubusercontent.com/UCSB-CMPTGCS20-S16/CS20-S16-lab04/master/lab04Funcs.py)
* On github: [lab04Funcs.py on github](https://github.com/UCSB-CMPTGCS20-S16/CS20-S16-lab04/blob/master/lab04Funcs.py)

In IDLE, select ""File=&gt;New Window"" to open a new ""untitled"" window for Python code.

When it comes up, click and drag the window by its title bar over to the right of your Python Shell window.

Now, open this link. (You may want to ""right click"", or on Mac, ""control-click"", to open it in a new window or tab.)

Use the ""Save As"" option to save that file in the `~/cs20/lab04` folder with the name `lab04Funcs.py`

Step 2: Copy some more code from `lab04Tests.py`
-----------------------------------------------

Now we are going to do the same thing again, with a second file of Python code.

We are going to copy some code from `lab04Tests.py`
into a file with the same name under your `~/cs20/lab04` folder

* As a plain file: [lab04Tests.py](https://raw.githubusercontent.com/UCSB-CMPTGCS20-S16/CS20-S16-lab04/master/lab04Tests.py)
* On github: [lab04Tests.py on github](https://github.com/UCSB-CMPTGCS20-S16/CS20-S16-lab04/blob/master/lab04Tests.py)

* You may want to ""right click"", or on Mac, ""control-click"", to open it in a new window or tab.
* We want to copy code from that version of `lab04Tests.py` into a file with the same name under your `~/cs20/lab04` folder.

In IDLE, select ""File=&gt;New Window"" *again* to open *yet another* new ""untitled"" window for Python code.

When it comes up, click and drag the window some place so that you can get to it, your `lab04Funcs.py` window, the web browser window with `lab04Tests.py` and to your Python Shell window easily by clicking.

Use the ""Save As"" option to save that file in the`~/cs20/lab04` folder with the name `lab04Tests.py`

Remember that upper vs. lower case matter. Save it again if you didn't get it exactly right the first time, and use the `rm` command to remove (delete) any files that are in the wrong place.

Once you see that you have `lab04Funcs.py` and `lab04Tests.py` under your `~/cs20/lab04` directory, you are good to move on to the next step.

Step 3: Importing functions from our lab02 file
-----------------------------------------------

Take a look inside your `lab04Funcs.py` file, and you'll see these two lines near the top:

    from lab02Funcs import isList
    from lab02Funcs import isSimpleNumeric

What we are doing here is pulling in two functions from our lab02 work.

We are going to NEED an `isList` function and an `isSimpleNumeric` function to do the work for lab04. But, we don't want to have to write those functions from scratch.

So we can REUSE the code. All we have to do is copy over the `lab02Funcs.py` file from our lab02 directory into our lab04 directory.

So, make a copy of your `lab02Funcs.py` from the earlier lab, and put it in the same folder/directory with your `lab04Funcs.py` and `lab04Tests.py` files.

When you've copied the `lab02Funcs.py` file over, and you see that you have all three files that we are going to need for this week's lab, you can get started on the programming part.

Step 4: Fixing function stubs, adding functions, adding tests
-------------------------------------------------------------

As we discussed in lecture, when writing functions along with test cases, we often start with ""stub"" versions.

These allow us to ""test the test"" to make sure that when the function is bogus, that the tests work correctly.

If you look through the `lab04Funcs.py` file, you will see several function definitions that are ""stub"" versions.

Run the `lab04Tests.py` file, and you'll see that many of the tests are failing, because the function in question returns the string ""stub"" instead of the answer that it should.

Go through the file, and replace the stubs with correct values.

In addition, you'll also find:

-   several places in `lab04Funcs.py` where there are comments with ""@@@"" signs that tell you to add new function definitions.

Follow all of the instructions.

-   As you follow the instructions with the @@@ in them, REMOVE THE COMMENTS THAT HAVE THE @@@ IN THEM.

You can always look back at the versions of the files on the web if you want to see what the instructions originally said.

If you leave any of the @@@ comments in the file, points may be deducted.

When you have:

-   fixed all the stubs, and the tests cases pass
-   added all the functions you are supposed to add

Then you are ready to submit!

### A few helpful hints

At the bottom of the file, you'll see that you can select either to run ALL tests, or ONLY the test for a certain function.

Follow the instructions there if you want to focus on just one function at a time.

Step 5: Getting ready to submit
-------------------------------

We are just about ready to submit your work for grading.

But first, some important preparation steps:

### Step 5a: Add your name(s) and email to the top of the file

This step is worth 10 points (10% of your grade) so don't forget it.

<b>(Yeah, ""grade"", ha ha. If you are in the CCS version of this course, just go with me on this.    It was easier to leave this all in that edit it out.   The ""grade"" stuff is still a good indication of how programming work is evaluated and assessed in traditional-style courses, so probably good for you to know in case you choose to study CS further.)</b>

At the top of BOTH the `lab04Funcs.py` file, and the `lab04Tests.py` file, add the following lines of code. They should be at the VERY top, the VERY first lines.

But, change the name here to YOUR name, the lab section to YOUR lab section, and the email to YOUR email (use your umail address, not a gmail, yahoo or hotmail address.)

Add the word SOLO or PAIR, and if working in a pair, put both names (one per line)

    # lab04Funcs.py  SOLO, Gina Gaucho, ggaucho@umail.ucsb.edu 

    # lab04Tests.py  SOLO, Gina Gaucho, ggaucho@umail.ucsb.edu 

OR:

    # lab04Funcs.py  PAIR, Gordon Gaucho, ggaucho@umail.ucsb.edu 
    # lab04Funcs.py  PAIR, Martin Perez, mperez07@umail.ucsb.edu 

    # lab04Tests.py  PAIR, Gordon Gaucho, ggaucho@umail.ucsb.edu 
    # lab04Tests.py  PAIR, Martin Perez, mperez07@umail.ucsb.edu 

### Step 5b: Check your lab against the grading rubric

**Again, if you are in the CCS version of the course, this section and the grading rubric at the bottom are provided just to give you an idea of what might be considered important in grading if you decide to take other computer science courses in the future, and so you can use it as a checklist for completion.**

To maximize your grade, it is good to check your OWN lab against the SAME criteria the TA and instructor will use to grade it—BEFORE you submit it!

Open these lab instructions in a second browser window. Scroll down to the bottom of the lab, to the grading section.

Find the list of grading criteria. Check your own work against each of those.

If there are any parts that don't make sense to you, be sure to ask the TA/Instructor about those.

If you see that you've done everything correctly, then you are ready to submit.

Step 6: Submit your assignment via submit.cs
-------------------------------------------------------

Here's the link: https://submit.cs.ucsb.edu/form/project/471/submission

If you happen to be working on CSIL, you can also submit by typing

```
~submit/submit -p 471 lab02Funcs.py lab04Funcs.py
```

Evaluation and Grading
======================

-   lab04 directory submitted (10 pts) and contains:
    -   `lab02Funcs.py` (5 pts)
    -   `lab04Funcs.py` (5 pts)

<!-- -->

-   In `lab04Funcs.py`:
    -   name(s) at top (10 pts)
    -   (15 pts) corrected problems with `notStringContainingE(word)` so that it passes tests
    -   (15 pts) corrected problems with `hasNoX(word)` so that it passes tests
    -   (30 pts) correct version of `isListOfIntegers(theList)`
    -   (30 pts) correct version of `isListOfEvenIntegers(theList)`
    -   (30 pts) correct version of `totalLength(listOfStrings)`
    -   (30 pts) correct version of `lengthOfEach(listOfStrings)`
    -   (30 pts) correct version of `countEvens(listOfInts)`
    -   (30 pts) correct version of `onlyEvens(listOfInts)`
    -   all @@@ comments removed (10 pts)



-   In `lab04Tests.py`:
    -   (10 pts) Nothing changed except adding comment to first lines with name
    -   Note: if tests are modified to make them pass (instead of modifying the code to make it pass the tests) then additional points may be deducted. Don't modify the tests. Modify the code so that it passes the tests.



-   General (30 pts)
    -   following instructions
    -   submitting work on time
    -   anything else specified in the instructions

<hr>
Copyright 2014,2015, Phillip T. Conrad, CS Dept, UC Santa Barbara. Permission to copy for non-commercial, non-profit, educational purposes granted, provided appropriate credit is given; all other rights reserved.
","['sarahmzhong', 'pconrad']",1,,0.66,0,,,,,,2,,UCSBarchlab,/ucsb/
57425752,MDEwOlJlcG9zaXRvcnk1NzQyNTc1Mg==,UCSD-Graphs,wyatli/UCSD-Graphs,0,wyatli,https://github.com/wyatli/UCSD-Graphs,Advances data structure(Graph) and Algorithms from UCSB Coursera,0,2016-04-30 03:40:09+00:00,2016-04-30 03:54:20+00:00,2016-04-30 03:54:17+00:00,,316,0,0,Java,1,1,1,1,0,0,0,0,0,0,other,1,0,0,public,0,0,0,master,1,,"# UCSD-Graphs
Advances data structure(Graph) and Algorithms from UCSB Coursera

###Week 1 : Introduction to the course and graphs

>basicgraph.Graph.java<br>
>basicgraph.GraphAdjList.java<br>
>basicgraph.GraphAdjMatrix.java<br>

###Week 2 : Class design and simple graph search(BFS)

>roadgraph.MapGraph.java<br>
>week2example.Maze.java<br>
>week2example.MazeLoader.java<br>
>week2example.MazeNode.java<br>

###Week 3 : Finding shortest path using Dikstra's Algorithm and A*Seach
>see http://www.cnblogs.com/technology/archive/2011/05/26/2058842.html exlains the algo of A* search<br>
>MapGraph.java<br>

###Utility files

>geography.GeographicPoint.java<br>
>geography.RoadSegment.java<br>
>util.GraphLoader.java<br>
",['wyatli'],1,,0.79,0,,,,,,1,,ucsb-seclab,library-ucsb
1771842,MDEwOlJlcG9zaXRvcnkxNzcxODQy,IntWebData,sckott/IntWebData,0,sckott,https://github.com/sckott/IntWebData,Interface with the Interaction Web Database,0,2011-05-19 15:15:02+00:00,2013-12-04 02:03:05+00:00,2011-05-19 15:18:08+00:00,http://r-ecology.blogspot.com/,89,2,2,,1,1,1,1,0,0,0,0,0,0,,1,0,0,public,0,0,2,master,1,,"This repo is for the development of a package for interfacing with the Interaction Web Database (http://www.nceas.ucsb.edu/interactionweb/), a website that hosts datasets on ecological networks. The package goals are to allow download of datasets, querying of taxonomic names in the datasets, and simple network plotting (using package bipartite). ",['sckott'],1,,0.74,0,,,,,,1,,LuaAV,
669670757,R_kgDOJ-pdZQ,alab-ucsb,alab-ucsb/alab-ucsb,0,alab-ucsb,https://github.com/alab-ucsb/alab-ucsb,Config files for my GitHub profile.,0,2023-07-23 03:49:10+00:00,2023-07-23 03:49:10+00:00,2023-07-23 16:38:46+00:00,https://github.com/alab-ucsb,0,0,0,,0,1,1,0,0,0,0,0,0,0,,1,0,0,public,0,0,0,main,1,,"Hi, you've reached the Alexander lab github. We are a neuroscience research group studying spatial cognition, learning, and memory in the Department of Psychological and Brain Sciences at UC Santa Barbara.



<!---
alab-ucsb/alab-ucsb is a ✨ special ✨ repository because its `README.md` (this file) appears on your GitHub profile.
You can click the Preview link to take a look at your changes.
--->
",['alab-ucsb'],1,,0.88,0,,,,,,1,,SEAL-UCSB,
464005168,R_kgDOG6goMA,UCSBHistoricalCourseScraper,JNewman-cell/UCSBHistoricalCourseScraper,0,JNewman-cell,https://github.com/JNewman-cell/UCSBHistoricalCourseScraper,Finds all past course offerings for certain subjects and compiles each quarter into a specific csv file for use in choosing electives and planning out Major class schedules.,0,2022-02-27 01:03:22+00:00,2024-10-30 23:14:31+00:00,2023-02-02 06:28:47+00:00,,12,1,1,Python,1,1,1,1,0,0,0,0,0,0,,1,0,0,public,0,0,1,main,1,,"# UCSBHistoricalCourseScraper

Finds all courses and their respective names for certain class subjects using their shortened classification (e.g. ECE, CMPSC for Electrical Engineering and Computer Science) and compiles each quarter of the last year into a quarter-specific csv file for use in Excel or Google Sheets. This is accomplished through website scraping of the UCSB course website, this speeds up the process for searching through every course significantly. Some setbacks were the loading speed of the UCSB website itself, so I had to slow down the script at certain places so that the data could be read.

## Getting Started

These instructions will give you a copy of the project up and running on
your local machine for development and testing purposes. See deployment
for notes on deploying the project on a live system.

### Prerequisites

Requirements for the software and other tools to build, test, and push
- [Chrome Driver](https://chromedriver.chromium.org/getting-started)
- [Selenium and Pandas Python Packages](https://packaging.python.org/en/latest/tutorials/installing-packages/)
 
 The chrome driver is needed in addition to an installation of python to run the script.
 Hopefully, this program is useful and makes it easier to choose classes!
",['JNewman-cell'],1,,0.86,0,,,,,,1,,UCSB-NLP,
16060272,MDEwOlJlcG9zaXRvcnkxNjA2MDI3Mg==,ucsbphil,SimpsonHomer/ucsbphil,0,SimpsonHomer,https://github.com/SimpsonHomer/ucsbphil,,0,2014-01-20 03:38:55+00:00,2014-09-13 22:11:47+00:00,2014-01-20 01:39:42+00:00,,220077,0,0,JavaScript,0,1,1,1,0,0,0,0,0,0,,1,0,0,public,0,0,0,master,1,,,['dunn'],1,,0.71,0,,,,,,1,,AlloSphere-Research-Group,
60858010,MDEwOlJlcG9zaXRvcnk2MDg1ODAxMA==,faculty-scraper,barc-iitkgp/faculty-scraper,0,barc-iitkgp,https://github.com/barc-iitkgp/faculty-scraper,A tool to scrape the faculty details of QS Top 30 Institutes.,0,2016-06-10 15:29:13+00:00,2025-02-06 12:15:33+00:00,2022-09-20 08:55:53+00:00,,129,11,11,Ruby,1,1,1,1,0,0,8,0,0,5,gpl-3.0,1,0,0,public,8,5,11,master,1,1,"DESCRIPTION 
-----------
This tool will scrape through faculty details of various colleges & store them in .csv format in the data/ folder.

SUPPORTED COLLEGES 
------------------

<p> This list is not necessarily in the same order as the QS Top 30 ranks </p>

<table>
<tr> <th> # </th> <th> College name </th> <th> Number of contacts </th> </tr>
<tr> <td> (1) </td> <td> Berkeley University </td> <td> 125 </td> </tr>
<tr> <td> (2) </td> <td> Cambridge University </td> <td> 1420 </td> </tr>
<tr> <td> (3) </td> <td> Delft University of Technology </td> <td> 485 </td> </tr>
<tr> <td> (4) </td> <td> École Polytechnique Federale De Lausanne </td> <td> 145 </td> </tr>
<tr> <td> (5) </td> <td> ETH Zurich University </td> <td> 626 </td> </tr>
<tr> <td> (6) </td> <td> Georgia University </td> <td> 142 </td> </tr>
<tr> <td> (7) </td> <td> Harvard  University  </td> <td> 101 </td> </tr>
<tr> <td> (8) </td> <td> Massachusetts Institute of Technology </td> <td> 165 </td> </tr>
<tr> <td> (9) </td> <td> Melbourne University </td> <td> 168 </td> </tr>
<tr> <td> (10) </td> <td> Oxford University </td> <td> 233 </td> </tr>
<tr> <td> (11) </td> <td> Peking  University </td> <td> 111 </td> </tr>
<tr> <td> (12) </td> <td> Stanford University </td> <td> 114 </td> </tr>
<tr> <td> (13) </td> <td> University of California, Santa Barbara </td> <td> 41 </td> </tr>
<tr> <td> (14) </td> <td> University of California,Los Angeles </td> <td> 79 </td> </tr>
<tr> <td> (15) </td> <td> University of Illinois at Urbana–Champaign </td> <td> 106 </td> </tr>
<tr> <td> (16) </td> <td> Yale University </td> <td> 23 </td> </tr>
<tr> <th> # </th> <th> Total number of contacts </th> <th> 4084 </th> </tr>
</table>


USING THE TOOL <img src=""https://api.travis-ci.org/barc-iitkgp/faculty-scraper.svg"">
--------------
Type the following commands on a terminal -
<br>`git clone git@github.com:barc-iitkgp/faculty-scraper.git`
<br> `cd faculty-scraper/scripts` 
<br> `ruby college_name.rb`

LICENSE
-------
Licensed under GNU General Public License v3.0 (GPLv3).
","['athityakumar', 'the-ethan-hunt', 'sgdgp']",0,,0.66,0,,,,,,2,,UCSB-VRL,
1475838,MDEwOlJlcG9zaXRvcnkxNDc1ODM4,GauchoMobile,gonfunko/GauchoMobile,0,gonfunko,https://github.com/gonfunko/GauchoMobile,iPhone client for UCSB GauchoSpace course management system,0,2011-03-13 21:19:55+00:00,2024-08-21 22:03:36+00:00,2013-05-28 04:13:50+00:00,,30325,6,6,Objective-C,1,1,1,1,0,0,1,0,0,0,bsd-2-clause,1,0,0,public,1,0,6,master,1,,"GauchoMobile
Read Me 

GauchoMobile is a native iPhone client for UCSB's GauchoSpace course management system.
At the present, it allows you to view grades, assignments, participants and the free form links/text associated with every course you are enrolled in on GauchoSpace.
It was developed as part of CS 48 (http://www.cs.ucsb.edu/~mikec/cs48/index.html) by Aaron Dodson, Kenneth Bedolla, Mauricio Hernandez and Christian Jimenez.

---------------------------------------------------------

FAQs:

Q: Why does GauchoMobile say No Assignments? GauchoSpace lists some on the course homepage.
A: GauchoSpace only displays assignments from the actual Assignments ""mode"" of GauchoSpace. Assignments listed on the course homepage should be visible in the Dashboard section.

Q: How come the information displayed is out of date?
A: To save you time and battery power, GauchoMobile caches the information it downloads from GauchoSpace. This means that assignments, grades, etc. are instantly available,
but may also mean that you don't see the most recent information. To make sure you're up to date, go to the information you want to update, pull the table down and release it. In the case
of assignments, you'll need to switch to landscape orientation to be able to drag far enough to reload the information.

Q: Why isn't GauchoMobile able to download any information when I launch it after not using it for a while?
A: This is a bug. Since GauchoSpace logins expire after a while, GauchoMobile isn't able to access your information if it logged in a while ago. Double click the device home button, tap the
red minus button on GauchoMobile and relaunch it to work around this problem.

---------------------------------------------------------

GauchoSpace is a Moodle site, which means that GauchoMobile may be able to work with any other Moodle site. We haven't tested this, but only moderate modifications should be required
to get it working. First, try just switching out the URLs in GMSourceFetcher.m. If that doesn't work, you may need to modify the parsers, especially if your school uses a different
version of Moodle. You'll also probably want to change the colors of the nav bars/loading views and graphs to match your school colors (unless those happen to be blue and gold) and switch
out the images displayed on the login view. If you get GauchoMobile working for your school, let us know!

----------------------------------------------------------

If you like GauchoMobile, why not become a fan on Facebook: https://www.facebook.com/pages/Gaucho-Mobile/156258474432978",['gonfunko'],1,,0.79,0,,,,,,2,,NCEAS,
514470571,R_kgDOHqoyqw,iac-dns-coredns,library-ucsb/iac-dns-coredns,0,library-ucsb,https://github.com/library-ucsb/iac-dns-coredns,Contains IaC for the UCSB Library's CoreDNS Deployment,0,2022-07-16 03:52:48+00:00,2022-07-16 03:54:33+00:00,2022-07-17 01:15:27+00:00,,19,0,0,HCL,0,1,0,0,0,0,0,0,0,0,,1,0,0,public,0,0,0,main,1,1,,['joshSpreston'],1,,0.87,0,,,,,,1,,move-ucsb,
183289227,MDEwOlJlcG9zaXRvcnkxODMyODkyMjc=,UCSB-Menu-assistant,ArthurG0/UCSB-Menu-assistant,0,ArthurG0,https://github.com/ArthurG0/UCSB-Menu-assistant,,0,2019-04-24 18:56:53+00:00,2019-07-13 04:17:37+00:00,2019-07-13 04:17:36+00:00,,3,0,0,JavaScript,1,1,1,1,0,0,0,0,0,0,,1,0,0,public,0,0,0,master,1,,# UCSB-Menu-assistant,['ArthurG0'],1,,0.86,0,,,,,,0,,CARDAMOM-framework,
